event_id,true_label,predicted_label
2022-0002-IRN,Low,Low
2022-0005-TZA,Moderate,Moderate
2022-0007-USA,Low,Low
2022-0026-TON,Low,Moderate
2022-0058-PER,Low,Low
2022-0059-USA,Moderate,Moderate
2022-0060-AFG,Moderate,Moderate
2022-0061-MDG,Moderate,Low
2022-0062-IDN,Moderate,Moderate
2022-0064-BOL,Moderate,Moderate
2022-0068-ECU,Moderate,Low
2022-0069-HTI,Low,Low
2022-0072-SPI,Moderate,Moderate
2022-0077-ZAF,Low,Low
2022-0081-POL,Low,Low
2022-0087-IDN,Low,Low
2022-0089-BRA,Severe,Low
2022-0092-GTM,Low,Low
2022-0097-DEU,Low,Low
2022-0097-GBR,Low,Low
2022-0097-POL,Low,Low
2022-0108-ZAF,Low,Low
2022-0109-COL,Low,Low
2022-0112-BEL,Low,Low
2022-0112-DEU,Low,Low
2022-0112-IRL,Low,Low
2022-0113-BFA,Moderate,Moderate
2022-0119-THA,Low,Low
2022-0121-COL,Moderate,Moderate
2022-0127-GIN,Moderate,Moderate
2022-0149-BRA,Low,Low
2022-0157-USA,Low,Low
2022-0158-CHN,Severe,Moderate
2022-0164-COD,Moderate,Moderate
2022-0165-MMR,Moderate,Moderate
2022-0177-ECU,Low,Low
2022-0178-ECU,Low,Low
2022-0204-PHL,Severe,Low
2022-0208-EGY,Moderate,Moderate
2022-0215-USA,Low,Low
2022-0231-BIH,Low,Low
2022-0232-COD,Low,Low
2022-0236-TUN,Moderate,Moderate
2022-0237-NGA,Severe,Moderate
2022-0250-VEN,Low,Low
2022-0255-COD,Low,Severe
2022-0259-IRQ,Low,Low
2022-0263-COD,Low,Severe
2022-0265-BRA,Low,Low
2022-0271-THA,Low,Low
2022-0274-GHA,Moderate,Moderate
2022-0284-USA,Low,Low
2022-0292-VNM,Low,Low
2022-0293-IND,Severe,Moderate
2022-0309-IRN,Moderate,Moderate
2022-0311-MMR,Moderate,Moderate
2022-0318-BRA,Severe,Low
2022-0330-NPL,Moderate,Moderate
2022-0331-IDN,Moderate,Moderate
2022-0342-AFG,Severe,Low
2022-0343-RUS,Low,Low
2022-0385-TGO,Moderate,Moderate
2022-0389-COL,Moderate,Moderate
2022-0405-PAK,Severe,Severe
2022-0417-PRT,Low,Low
2022-0423-KOR,Low,Severe
2022-0437-NGA,Moderate,Moderate
2022-0445-SDN,Severe,Low
2022-0446-NER,Severe,Low
2022-0449-CAF,Moderate,Low
2022-0464-NGA,Moderate,Moderate
2022-0465-ALB,Severe,Severe
2022-0465-AUT,Severe,Severe
2022-0465-BEL,Severe,Severe
2022-0465-CHE,Severe,Severe
2022-0465-CZE,Severe,Severe
2022-0465-DEU,Severe,Severe
2022-0465-DNK,Severe,Severe
2022-0465-ESP,Severe,Severe
2022-0465-EST,Severe,Severe
2022-0465-FIN,Severe,Severe
2022-0465-FRA,Severe,Severe
2022-0465-GRC,Severe,Severe
2022-0465-HRV,Severe,Severe
2022-0465-HUN,Severe,Severe
2022-0465-ITA,Severe,Severe
2022-0465-LTU,Severe,Severe
2022-0465-LVA,Severe,Severe
2022-0465-NLD,Severe,Severe
2022-0465-NOR,Moderate,Severe
2022-0465-POL,Severe,Severe
2022-0465-PRT,Severe,Severe
2022-0465-ROU,Severe,Severe
2022-0465-SRB,Severe,Severe
2022-0473-RUS,Low,Low
2022-0485-PER,Moderate,Moderate
2022-0486-USA,Low,Low
2022-0493-NPL,Severe,Severe
2022-0505-CUB,Moderate,Moderate
2022-0514-AFG,Severe,Severe
2022-0525-ITA,Low,Low
2022-0533-CMR,Low,Moderate
2022-0540-TUR,Moderate,Moderate
2022-0543-RUS,Moderate,Moderate
2022-0553-MWI,Severe,Severe
2022-0567-CHN,Severe,Low
2022-0569-ZWE,Severe,Severe
2022-0586-TUN,Moderate,Moderate
2022-0592-PNG,Low,Low
2022-0602-IRQ,Moderate,Moderate
2022-0603-CAN,Low,Low
2022-0603-DOM,Low,Low
2022-0603-GLP,Low,Low
2022-0613-THA,Low,Low
2022-0614-USA,Severe,Low
2022-0619-IDN,Severe,Moderate
2022-0625-KHM,Moderate,Moderate
2022-0626-SYR,Moderate,Moderate
2022-0627-JPN,Low,Low
2022-0631-BGD,Moderate,Moderate
2022-0635-THA,Low,Low
2022-0641-NGA,Severe,Severe
2022-0643-HTI,Severe,Severe
2022-0647-GTM,Low,Low
2022-0654-MLI,Moderate,Low
2022-0669-ETH,Severe,Severe
2022-0674-NGA,Severe,Low
2022-0675-MEX,Low,Low
2022-0676-VNM,Moderate,Low
2022-0685-PHL,Low,Moderate
2022-0698-MEX,Low,Low
2022-0700-IDN,Moderate,Moderate
2022-0707-PHL,Severe,Low
2022-0709-IND,Severe,Moderate
2022-0710-KOR,Severe,Moderate
2022-0743-COL,Low,Low
2022-0746-COD,Low,Low
2022-0755-IDN,Severe,Low
2022-0770-RWA,Low,Low
2022-0782-IDN,Low,Low
2022-0795-VNM,Low,Low
2022-0801-CMR,Severe,Severe
2022-0803-IDN,Moderate,Moderate
2022-0805-COD,Severe,Low
2022-0808-USA,Low,Low
2022-0810-THA,Low,Low
2022-0811-USA,Low,Low
2022-0818-CAN,Low,Low
2022-0823-CHL,Low,Low
2022-0825-BIH,Low,Low
2022-0837-BOL,Moderate,Moderate
